book	chapter	verse	kind	marker	printed
Num	7	48	prose	p	pilcrow
Num	7	54	prose	p	pilcrow
Num	7	60	prose	p	pilcrow
Num	7	66	prose	p	pilcrow
Num	7	72	prose	p	pilcrow
Num	7	78	prose	p	pilcrow
Num	8	5	prose	p	pilcrow
Num	8	23	prose	p	pilcrow
Num	9	6	prose	p	pilcrow
Num	9	9	prose	p	pilcrow
Num	9	15	prose	p	pilcrow
Num	10	11	prose	p	pilcrow
Num	10	14	prose	p	pilcrow
Num	10	18	prose	p	pilcrow
Num	10	22	prose	p	pilcrow
Num	10	25	prose	p	pilcrow
Num	10	29	prose	p	pilcrow
Num	10	33	prose	p	pilcrow
Num	11	4	prose	p	pilcrow
Num	11	10	prose	p	pilcrow
Num	11	16	prose	p	pilcrow
Num	11	24	prose	p	pilcrow
Num	11	31	prose	p	pilcrow
Num	12	4	prose	p	
Num	12	10	prose	p	
Num	12	14	prose	p	pilcrow
Num	13	17	prose	p	pilcrow
Num	13	21	prose	p	pilcrow
Num	13	26	prose	p	pilcrow
Num	14	5	prose	p	
Num	14	6	prose	p	pilcrow
Num	14	11	prose	p	pilcrow
Num	14	13	prose	p	pilcrow
Num	14	15	prose	p	pilcrow
Num	14	20	prose	p	
Num	14	26	prose	p	pilcrow
Num	14	36	prose	p	
Num	14	40	prose	p	pilcrow
Num	15	17	prose	p	pilcrow
Num	15	22	prose	p	pilcrow
Num	15	27	prose	p	pilcrow
Num	15	30	prose	p	pilcrow
Num	15	32	prose	p	pilcrow
Num	15	37	prose	p	pilcrow
Num	16	12	prose	p	pilcrow
Num	16	23	prose	p	pilcrow
Num	16	31	prose	p	pilcrow
Num	16	35	prose	p	
Num	16	36	prose	p	pilcrow
Num	16	41	prose	p	pilcrow
Num	16	44	prose	p	pilcrow
Num	16	46	prose	p	pilcrow
Num	17	6	prose	p	pilcrow
Num	17	8	prose	p	
Num	17	10	prose	p	pilcrow
Num	18	8	prose	p	pilcrow
Num	18	20	prose	p	pilcrow
Num	18	25	prose	p	pilcrow
Num	19	11	prose	p	pilcrow
Num	20	7	prose	p	pilcrow
Num	20	12	prose	p	pilcrow
Num	20	14	prose	p	pilcrow
Num	20	22	prose	p	pilcrow
Num	21	4	prose	p	pilcrow
Num	21	7	prose	p	pilcrow
Num	21	10	prose	p	pilcrow
Num	21	12	prose	p	pilcrow
Num	21	17	prose	p	pilcrow
Num	21	21	prose	p	pilcrow
Num	21	31	prose	p	pilcrow
Num	21	33	prose	p	pilcrow
Num	22	2	prose	p	pilcrow
Num	22	15	prose	p	pilcrow
Num	22	22	prose	p	pilcrow
Num	22	36	prose	p	pilcrow
Num	23	13	prose	p	
Num	23	14	prose	p	pilcrow
Num	23	25	prose	p	pilcrow
Num	23	27	prose	p	pilcrow
Num	24	10	prose	p	pilcrow
Num	24	15	prose	p	pilcrow
Num	24	20	prose	p	pilcrow
Num	25	6	prose	p	pilcrow
Num	25	10	prose	p	pilcrow
Num	25	16	prose	p	pilcrow
Num	26	5	prose	p	pilcrow
Num	26	12	prose	p	pilcrow
Num	26	15	prose	p	pilcrow
Num	26	19	prose	p	pilcrow
Num	26	23	prose	p	pilcrow
Num	26	26	prose	p	pilcrow
Num	26	28	prose	p	pilcrow
Num	26	33	prose	p	pilcrow
Num	26	35	prose	p	pilcrow
Num	26	38	prose	p	pilcrow
Num	26	42	prose	p	pilcrow
Num	26	44	prose	p	pilcrow
Num	26	48	prose	p	pilcrow
Num	26	52	prose	p	pilcrow
Num	26	57	prose	p	pilcrow
Num	26	63	prose	p	pilcrow
Num	27	6	prose	p	pilcrow
Num	27	12	prose	p	pilcrow
Num	27	15	prose	p	pilcrow
Num	27	18	prose	p	pilcrow
Num	28	9	prose	p	pilcrow
Num	28	11	prose	p	pilcrow
Num	28	16	prose	p	
Num	28	26	prose	p	pilcrow
Num	29	7	prose	p	pilcrow
Num	29	12	prose	p	pilcrow
Num	29	17	prose	p	pilcrow
Num	29	20	prose	p	pilcrow
Num	29	23	prose	p	pilcrow
Num	29	26	prose	p	pilcrow
Num	29	29	prose	p	pilcrow
Num	29	32	prose	p	pilcrow
Num	29	35	prose	p	pilcrow
Num	30	3	prose	p	
Num	31	7	prose	p	
Num	31	13	prose	p	pilcrow
Num	31	21	prose	p	pilcrow
Num	31	25	prose	p	pilcrow
